id,name,shortName,tla,crest,address,website,founded,clubColors,venue,lastUpdated
734,NK Maribor,Maribor,MAR,https://crests.football-data.org/734.png,Mladinska ulica 29 Maribor 292000,http://www.nkmaribor.com,1919.0,Violet / Yellow,Ljudski vrt,2022-09-06T15:07:17Z
740,1. FSV Mainz 05 II,Mainz 05 II,MAI,https://crests.football-data.org/740.png,Dr.-Martin-Luther-King-Weg 20 Mainz 55122,http://www.mainz05.de,1905.0,Red / White,Stadion am Bruchweg,2022-05-13T08:13:03Z
741,SG Sonnenhof Großaspach,Großaspach,GRO,http://upload.wikimedia.org/wikipedia/de/1/1d/SG_Sonnenhof.svg,Fautenhau 1 Aspach 71546,http://www.sg94.de,1994.0,Red / Black,WIRmachenDRUCK Arena,2020-11-26T02:06:11Z
742,US Orléans Loiret,Orléans,USO,https://crests.football-data.org/742.png,7 rue beaumarchais Orléans 45100,http://www.usofoot.com,1920.0,Red / Yellow,Stade de la Source,2023-09-04T13:02:30Z
745,CD Leganés,Leganés,LEG,https://crests.football-data.org/745.png,"Calle Arquitectura, s/n Leganés 28914",http://www.deportivoleganes.com,1928.0,Blue / White,Estadio Municipal de Butarque,2022-02-20T08:40:13Z
747,ACD Virtus Entella,Virtus Entella,ENT,https://crests.football-data.org/747.png,via Aldo Gastaldi 22 Chiavari 16043,http://www.entella.it,1914.0,White / Light Blue,Stadio Comunale Chiavari,2022-09-02T10:30:18Z
748,FK BATE Barysaŭ,BATE,BAT,http://upload.wikimedia.org/wikipedia/de/thumb/0/0a/Logo_BATE_Baryssau.svg/150px-Logo_BATE_Baryssau.svg.png,"Praspiekt Revaliucyi, 16 Barysaŭ 222515",http://www.fcbate.by,1973.0,Blue / Yellow,Borisov Arena,2020-09-10T02:45:11Z
749,Malmö FF,Malmö FF,MAL,https://crests.football-data.org/749.png,Box 19067 Malmö 20073,http://www.mff.se,1910.0,Light Blue / White,Eleda Stadion,2022-09-06T15:06:57Z
752,APOEL FC,APOEL,APO,https://crests.football-data.org/752.png,Dimofontos Str 39 Nicosia 1075,http://www.apoelfc.com.cy,1926.0,Yellow / Blue,Neo GSP,2022-08-12T11:39:44Z
754,FK Spartak Moskva,Spartak Moskva,SPA,https://crests.football-data.org/754.png,"Krasnopresnenskaja naberezhnaja, dom 10 str. 4 Moskva 123100",http://www.spartak.com,1922.0,Red / White,Otkrytie Arena,2023-03-05T07:40:21Z
755,GNK Dinamo Zagreb,Dinamo Zagreb,DIN,https://crests.football-data.org/755.png,Maksimirska 128 Zagreb 10000,http://gnkdinamo.hr,1903.0,Blue / White,Stadion Maksimir,2022-08-12T10:44:22Z
756,Netherlands,Netherlands,NLD,https://crests.football-data.org/756.png,Woudenbergseweg 56-58 / Postbus 515 Zeist 3700 AM,http://www.knvb.nl,1889.0,Orange / White / Blue,Stadion De Blauwe Kei,2023-06-02T09:57:15Z
757,KSKL Ternat,,,,Stationsstraat 35a Ternat 1740,http://www.ksklternat.be,1950.0,Red / Blue,,2018-05-31T17:02:53Z
758,Uruguay,Uruguay,URU,https://crests.football-data.org/758.svg,Guayaybo 1531 Montevideo 11200,http://www.auf.org.uy,1900.0,Sky Blue / White / Black,Estadio Centenario,2021-05-22T11:54:30Z
759,Germany,Germany,GER,https://crests.football-data.org/759.svg,Otto-Fleck-Schneise 6 / Postfach 710265 Frankfurt am Main 60492,http://www.dfb.de,1900.0,White / Black,RheinEnergieSTADION,2021-05-26T09:46:39Z
760,Spain,Spain,ESP,https://crests.football-data.org/760.svg,"Ramón y Cajal, s/n Las Rozas 28230",http://www.rfef.es,1909.0,Red / Blue / Yellow,Estadio Alfredo Di Stéfano,2021-05-26T09:46:48Z
761,Paraguay,Paraguay,PAR,https://crests.football-data.org/761.svg,Calle Mayor Martínez 1393 Asunción null,http://www.apf.org.py,1906.0,Red / White / Blue,,2021-05-22T11:35:25Z
762,Argentina,Argentina,ARG,https://crests.football-data.org/762.png,"Viamonte 1366/76 Buenos Aires, Buenos Aires 1053",http://www.afa.org.ar,1893.0,Sky Blue / White / Black,,2022-05-17T21:09:25Z
763,Ghana,Ghana,GHA,https://crests.football-data.org/ghana.svg,South East Ridge Accra 19338,http://www.ghanafa.org,1957.0,White / Black,Cape Coast Sports Stadium,2024-01-11T10:13:37Z
764,Brazil,Brazil,BRA,https://crests.football-data.org/764.svg,"Rua Victor Civita 66 Bloco 1, Edifico 5 Rio de Janeiro, RJ 22775-044",http://www.cbf.com.br/,1914.0,Yellow / Green / Blue,,2021-05-22T11:31:45Z
765,Portugal,Portugal,POR,https://crests.football-data.org/765.svg,"Rua Alexandre Herculano, 58 Lisboa 1250-012",http://www.fpf.pt,1914.0,Red / Green,Estádio José Alvalade,2021-05-26T09:46:58Z
766,Japan,Japan,JPN,https://crests.football-data.org/766.svg,"JFA House Football Avenue, Bunkyo-ku Tōkyō 113-8311",http://www.jfa.or.jp,1921.0,Blue / White,Stadion Galgenwaard,2022-04-02T10:44:23Z
767,Chile,Chile,CHI,https://crests.football-data.org/767.svg,"Avenida Quilín 5635, Comuna Peñalolén Santiago null",http://www.anfp.cl,1895.0,Red / White / Blue,,2021-05-22T11:31:11Z
768,Slovakia,Slovakia,SVK,https://crests.football-data.org/768.svg,Trnavská 100 Bratislava 82101,http://www.futbalsfz.sk,1938.0,Blue / White,City Arena Trnava,2021-05-26T19:20:07Z
